time,ego_velocity,leader_velocity,ego_acceleration,leader_acceleration,space_gap
554.4,27.272804249858638,27.105,0.0,-0.010000000000009947,128.6787523177895
554.5,27.272804249858638,27.094,0.0,-0.10999999999996732,128.66142189280365
554.6,27.272804249858638,27.077,0.0,-0.16999999999995594,128.64269146781777
554.7,27.272804249858638,27.069,0.0,-0.08000000000000852,128.6227110428319
554.8,27.272804249858638,27.075,0.0,0.06000000000005684,128.60263061784605
554.9,27.272804249858638,27.084,0.0,0.08999999999998294,128.58330019286018
555.0,27.272804249858638,27.09,0.0,0.05999999999998863,128.56471976787432
555.1,27.272804249858638,27.094,0.0,0.04000000000000426,128.54663934288845
555.2,27.272804249858638,27.097,0.0,0.029999999999994316,128.52890891790258
555.3,27.272804249858638,27.102,0.0,0.05000000000003553,128.51157849291673
555.4,27.272804249858638,27.106,0.0,0.04000000000000426,128.49469806793087
555.5,27.272804249858638,27.108,0.0,0.019999999999984367,128.478117642945
555.6,27.272804249858638,27.107,0.0,-0.010000000000009947,128.46158721795913
555.7,27.272804249858638,27.103,0.0,-0.039999999999968734,128.44480679297328
555.8,27.272804249858638,27.098,0.0,-0.05000000000007106,128.42757636798743
555.9,27.272804249858638,27.09,0.0,-0.079999999999973,128.40969594300157
556.0,27.272804249858638,27.079,0.0,-0.10999999999996732,128.3908655180157
556.1,27.272804249858638,27.072,0.0,-0.06999999999999858,128.3711350930298
556.2,27.272804249858638,27.069,0.0,-0.029999999999994316,128.35090466804394
556.3,27.272804249858638,27.066,0.0,-0.03000000000002842,128.3303742430581
556.4,27.272804249858638,27.063,0.0,-0.029999999999994316,128.30954381807223
556.5,27.272804249858638,27.06,0.0,-0.029999999999994316,128.28841339308636
556.6,27.272804249858638,27.057,0.0,-0.029999999999994316,128.26698296810048
556.7,27.272804249858638,27.054,0.0,-0.029999999999994316,128.24525254311462
556.8,27.272804249858638,27.051,0.0,-0.03000000000002842,128.22322211812877
556.9,27.272804249858638,27.048,0.0,-0.029999999999994316,128.2008916931429
557.0,27.272804249858638,27.043,0.0,-0.049999999999978686,128.17816126815703
557.1,27.272804249858638,27.033,0.0,-0.09999999999995737,128.15468084317115
557.2,27.272804249858638,27.021,0.0,-0.11999999999997726,128.1301004181853
557.3,27.272804249858638,27.011,0.0,-0.10000000000010659,128.10441999319946
557.4,27.272804249858638,27.005,0.0,-0.05999999999998863,128.0779395682136
557.5,27.272804249858638,27.001,0.0,-0.039999999999968734,128.05095914322771
557.6,27.272804249858638,26.998,0.0,-0.029999999999994316,128.02362871824184
557.7,27.272804249858638,26.997,0.0,-0.010000000000009947,127.99609829325597
557.8,27.272804249858638,26.998,0.0,0.010000000000021316,127.96856786827013
557.9,27.272804249858638,26.998,0.0,0.0,127.94108744328426
558.0,27.272804249858638,26.996,0.0,-0.020000000000019894,127.91350701829839
558.1,27.272804249858638,26.993,0.0,-0.029999999999994316,127.88567659331252
558.2,27.272804249858638,26.991,0.0,-0.019999999999984367,127.85759616832665
558.3,27.272804249858638,26.988,0.0,-0.03000000000002842,127.82926574334081
558.4,27.272804249858638,26.987,0.0,-0.010000000000009947,127.80073531835494
558.5,27.272804249858638,26.995,0.0,0.08000000000000852,127.77255489336906
558.6,27.272804249858638,27.003,0.0,0.079999999999973,127.7451744683832
558.7,27.272804249858638,27.002,0.0,-0.010000000000009947,127.71814404339733
558.8,27.272804249858638,26.984,0.0,-0.180000000000135,127.69016361841149
558.9,27.272804249858638,26.959,0.0,-0.24999999999996447,127.66003319342562
559.0,27.272804249858638,26.935,0.0,-0.23999999999995453,127.62745276843975
559.1,27.272804249858638,26.909,0.0,-0.2599999999999389,127.59237234345387
559.2,27.272804249858638,26.888,0.0,-0.2099999999999247,127.554941918468
559.3,27.272804249858638,26.878,0.0,-0.10000000000010659,127.51596149348218
559.4,27.272804249858638,26.87,0.0,-0.079999999999973,127.47608106849631
559.5,27.272804249858638,26.865,0.0,-0.050000000000014214,127.43555064351044
559.6,27.272804249858638,26.869,0.0,0.04000000000000426,127.39497021852456
559.7,27.272804249858638,26.883,0.0,0.13999999999996163,127.35528979353869
559.8,27.272804249858638,26.905,0.0,0.22000000000022027,127.31740936855286
559.9,27.272804249858638,26.937,0.0,0.3199999999999275,127.28222894356699
560.0,27.272804249858638,26.957,0.0,0.19999999999995027,127.24964851858113
560.1,27.272804249858638,26.964,0.0,0.06999999999996305,127.21841809359526
560.2,27.272804249858638,26.967,0.0,0.029999999999994316,127.18768766860939
560.3,27.272804249858638,26.97,0.0,0.03000000000002842,127.15725724362355
560.4,27.272804249858638,26.974,0.0,0.04000000000000426,127.12717681863768
560.5,27.272804249858638,26.977,0.0,0.029999999999994316,127.09744639365181
560.6,27.272804249858638,26.978,0.0,0.010000000000009947,127.06791596866594
560.7,27.272804249858638,26.975,0.0,-0.029999999999994316,127.03828554368008
560.8,27.272804249858638,26.973,0.0,-0.020000000000042633,127.00840511869424
560.9,27.272804249858638,26.981,0.0,0.08000000000000852,126.97882469370838
561.0,27.272804249858638,26.997,0.0,0.159999999999946,126.9504442687225
561.1,27.272804249858638,27.014,0.0,0.16999999999995594,126.92371384373664
561.2,27.272804249858638,27.035,0.0,0.20999999999996022,126.89888341875077
561.3,27.272804249858638,27.07,0.0,0.3500000000003197,126.87685299376493
561.4,27.272804249858638,27.104,0.0,0.3399999999999119,126.85827256877906
561.5,27.272804249858638,27.137,0.0,0.32999999999993745,126.84304214379318
